ChannelID,VideoID,Title,ViewCount,PublishDate
UC4p_I9eiRewn2KoU-nawrDg,rwoJuT76nb8,"National Day Song 2016: Tomorrow’s Here Today, performed by 53A",3616363,2016-06-19T10:02:35Z
UC4p_I9eiRewn2KoU-nawrDg,wg1iNV6ZTGE,[WATCH] Boy who died before getting PSLE results inspired many,2758030,2020-12-01T04:11:27Z
UC4p_I9eiRewn2KoU-nawrDg,8Tv3NSpnAP8,"Japan&#39;s ex-prime minister Shinzo Abe shot in Nara, shows no vital signs: Media",1332016,2022-07-08T03:35:01Z
UC4p_I9eiRewn2KoU-nawrDg,GNSCfAAq878,&#39;It was time&#39;: Thai man who kept wife&#39;s body at home for 21 years comes to terms with her death,1069484,2022-05-15T01:59:46Z
UC4p_I9eiRewn2KoU-nawrDg,PDW1DHnhaCM,&quot;I got the closure I needed&quot;: Man reunited with 8 biological siblings at 59 after long search,950720,2022-07-23T07:22:51Z
UC4p_I9eiRewn2KoU-nawrDg,GPfap6bYq1Y,Hard to watch Covid-19 patients die alone: Italian doctor,887269,2020-03-20T19:31:10Z
UC4p_I9eiRewn2KoU-nawrDg,CcrcnKBCFuY,Struggles of an air stewardess | Before 10am | The Straits Times,809631,2019-02-18T07:42:51Z
UC4p_I9eiRewn2KoU-nawrDg,Lh87Y4Xs6xs,Exclusive footage of Tanjong Pagar car crash | ST NEWS NIGHT,792107,2021-02-16T13:20:44Z
UC4p_I9eiRewn2KoU-nawrDg,F85nXuUXs8Y,Nusantara: Indonesia&#39;s planned new capital - East Kalimantan,549290,2019-09-18T10:42:59Z
UC4p_I9eiRewn2KoU-nawrDg,YSiRRMRhUSo,Becoming a Singapore Armed Forces elite soldier #commando,519237,2019-12-03T12:30:22Z
UC4p_I9eiRewn2KoU-nawrDg,57HBTpEn7KQ,Teen grows sustainable hydroponic farm at home,457661,2020-10-10T13:00:48Z
UC4p_I9eiRewn2KoU-nawrDg,dS5hfh66T2E,Abe&#39;s body returns home as Japan grieves,456545,2022-07-09T15:44:50Z
UC4p_I9eiRewn2KoU-nawrDg,pJ4eErqt768,Fandi v sons: The Father&#39;s Day quiz,447922,2022-06-19T06:00:09Z
UC4p_I9eiRewn2KoU-nawrDg,j7OMZfUOv_E,Timeline: The shooting of Japan&#39;s former PM Shinzo Abe,442155,2022-07-09T01:59:46Z
UC4p_I9eiRewn2KoU-nawrDg,uYmBk61rQWY,River Valley High School student allegedly killed on campus | ST LIVE,433685,2021-07-19T07:09:01Z
UC4p_I9eiRewn2KoU-nawrDg,k4LMu7A9r_k,Becoming Singapore Airlines cabin crew: A training journey,408860,2022-10-25T11:00:34Z
UC4p_I9eiRewn2KoU-nawrDg,KudrTHRl1XI,Worms seen in McDonald&#39;s food,379240,2015-10-20T16:45:25Z
UC4p_I9eiRewn2KoU-nawrDg,C2NEV6lW8xE,Queen Elizabeth&#39;s coffin lowered into vault ahead of private burial,317172,2022-09-19T17:24:48Z
UC4p_I9eiRewn2KoU-nawrDg,vZfgHNVvwxs,A Nurse and her Lover: The Anatomy of a Scam | CloseUp,311685,2022-05-15T10:00:48Z
UC4p_I9eiRewn2KoU-nawrDg,0WdUHhXVQjY,S&#39;pore&#39;s Covid-19 precautions might be insufficient: Lawrence Wong | ST NEWS NIGHT,302737,2021-05-18T13:14:18Z
UC4p_I9eiRewn2KoU-nawrDg,EwudxhOix3U,"Tallest fish farm in Singapore to produce 2,700 tonnes of fish a year by 2023",292753,2021-02-22T05:03:23Z
UC4p_I9eiRewn2KoU-nawrDg,uoWN0Y-iE90,Sec 4 student arrested for alleged killing in River Valley High School | THE BIG STORY,285479,2021-07-19T11:04:56Z
